,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
123,Вита Лайн 001Р выпуск 3,RU000A1036X6,975.3,Средний,16.0,2024-02-29,21.66,1000.0,4.0,86.64,86.64,8.88,https://www.tinkoff.ru/invest/bonds/RU000A1036X6/
124,Роял Капитал выпуск 9,RU000A106JC8,960.5,Низкий,29.0,2024-04-10,32.19,1000.0,4.0,128.76,225.33,13.41,https://www.tinkoff.ru/invest/bonds/RU000A106JC8/
125,Мани Капитал 001P-02,RU000A1079G1,1020.2,Низкий,33.0,2024-01-27,15.66,1000.0,12.0,187.92,31.32,18.42,https://www.tinkoff.ru/invest/bonds/RU000A1079G1/
126,ПИМ выпуск 1,RU000A103WD6,986.2,Низкий,9.0,2024-01-17,28.19,1000.0,4.0,112.76,56.38,11.43,https://www.tinkoff.ru/invest/bonds/RU000A103WD6/
127,ТЕХНО Лизинг 001Р-06,RU000A107FN1,1010.6,Средний,58.0,2024-01-20,12.09,1000.0,12.0,145.08,48.36,14.36,https://www.tinkoff.ru/invest/bonds/RU000A107FN1/
128,СмартФ1Р01,RU000A106CM2,978.0,Низкий,28.0,2024-03-07,34.1,1000.0,4.0,136.4,238.7,13.95,https://www.tinkoff.ru/invest/bonds/RU000A106CM2/
129,МК Лизинг БО-01,RU000A107720,1016.1,Низкий,33.0,2024-02-15,12.96,1000.0,12.0,155.52,25.92,15.31,https://www.tinkoff.ru/invest/bonds/RU000A107720/
130,РСХБ 09Т1,RU000A0ZZ505,759.5,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ505/
131,АйДи Коллект выпуск 1,RU000A103HG0,977.0,Низкий,6.0,2024-01-27,8.53,1000.0,12.0,102.36,0.0,10.48,https://www.tinkoff.ru/invest/bonds/RU000A103HG0/
132,Энергоника 001Р-04,RU000A106R79,982.8,Средний,54.0,2024-02-15,34.63,1000.0,4.0,138.52,450.19,14.09,https://www.tinkoff.ru/invest/bonds/RU000A106R79/
133,МФК ВЭББАНКИР 1P-02,RU000A105575,937.6,Низкий,24.0,2024-01-23,11.4,1000.0,12.0,136.8,22.8,14.59,https://www.tinkoff.ru/invest/bonds/RU000A105575/
134,Глобал Факторинг Нетворк Рус БО-02-001P,RU000A1060U2,999.7,Низкий,31.0,2024-01-22,11.74,1000.0,12.0,140.88,23.48,14.09,https://www.tinkoff.ru/invest/bonds/RU000A1060U2/
135,ПР-Лизинг выпуск 2,RU000A106EP1,921.1,Средний,99.0,2024-01-19,8.87,1000.0,12.0,106.44,70.96,11.56,https://www.tinkoff.ru/invest/bonds/RU000A106EP1/
