,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,НКД,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Осталось выплат,Доходность(% в год),Доходность(все время),Ссылка,Статус квал. инвестора
31,Фордевинд 03,RU000A106Q47,932.3,Низкий,33.0,2024-04-06,11.0,11.4,1000.0,12.0,136.8,33.0,14.67,376.0,https://www.tinkoff.ru/invest/bonds/RU000A106Q47/,Не важен / Неизвестно
32,АПРИ Флай Плэнинг БО-П05,RU000A104WA0,996.1,Низкий,14.0,2024-06-20,5.0,38.98,1000.0,4.0,155.92,5.0,15.65,195.0,https://www.tinkoff.ru/invest/bonds/RU000A104WA0/,Не важен / Неизвестно
33,МФК Быстроденьги 002P-05,RU000A107PW1,1012.5,Низкий,39.0,2024-04-30,1.0,14.96,1000.0,12.0,179.52,39.0,17.73,583.0,https://www.tinkoff.ru/invest/bonds/RU000A107PW1/,Не важен / Неизвестно
34,РКК выпуск 3,RU000A106GZ5,942.9,Низкий,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106GZ5/,Не важен / Неизвестно
35,МФК Быстроденьги 002P-04,RU000A107GU4,1018.0,Средний,38.0,2024-04-24,4.0,15.66,1000.0,12.0,187.92,38.0,18.46,595.0,https://www.tinkoff.ru/invest/bonds/RU000A107GU4/,Не важен / Неизвестно
36,Солид-Лизинг БО-02,RU000A107W71,1001.9,Высокий,40.0,2024-05-31,18.0,45.5,1000.0,4.0,182.0,13.0,18.17,592.0,https://www.tinkoff.ru/invest/bonds/RU000A107W71/,Не важен / Неизвестно
37,МигКредит 002MC-03,RU000A107KR2,1011.1,Средний,32.0,2024-04-15,9.0,14.96,1000.0,12.0,179.52,32.0,17.75,479.0,https://www.tinkoff.ru/invest/bonds/RU000A107KR2/,Не важен / Неизвестно
38,Солид-Лизинг выпуск 1,RU000A104CF1,622.05,Средний,32.0,2024-06-25,1.0,20.01,650.0,4.0,80.04,11.0,12.87,220.0,https://www.tinkoff.ru/invest/bonds/RU000A104CF1/,Не важен / Неизвестно
39,АПРИ Флай Плэнинг выпуск 3,RU000A106WZ2,1006.6,Низкий,41.0,2024-06-18,8.0,45.5,1000.0,4.0,182.0,14.0,18.08,637.0,https://www.tinkoff.ru/invest/bonds/RU000A106WZ2/,Не важен / Неизвестно
40,Мегатакт-НН БО-01,RU000A107PM2,1013.4,Низкий,45.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107PM2/,Не важен / Неизвестно
41,Пионер-Лизинг-БО-П02,RU000A1006C3,1099.0,Низкий,57.0,2024-04-17,9.0,15.83,1000.0,12.0,189.96,57.0,17.28,902.0,https://www.tinkoff.ru/invest/bonds/RU000A1006C3/,Не важен / Неизвестно
