,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,НКД,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка,Статус квалифицированного инвестора
929,ЕАБР выпуск 3Р-007,RU000A1064L3,1002.5,Средний,48.0,2024-04-25,71.0,48.72,1000.0,2.0,97.44,1169.28,9.72,https://www.tinkoff.ru/invest/bonds/RU000A1064L3/,
930,ДОМ.РФ ИА 08,RU000A102GD1,319.6442,Средний,309.0,2024-03-28,5.0,5.05,389.81,4.0,20.2,388.85,6.32,https://www.tinkoff.ru/invest/bonds/RU000A102GD1/,
931,РЖД 1P-27R,RU000A106VV3,1012.2,Высокий,41.0,2024-04-17,3.0,12.18,1000.0,12.0,146.16,36.54,14.44,https://www.tinkoff.ru/invest/bonds/RU000A106VV3/,
932,Глобал Факторинг Нетворк Рус БО-04-001P,RU000A107CJ6,1019.1,Высокий,43.0,2024-04-09,9.0,15.66,1000.0,12.0,187.92,46.98,18.44,https://www.tinkoff.ru/invest/bonds/RU000A107CJ6/,
933,ИКС 5 ФИНАНС 003P-02,RU000A1075S4,1009.5,Высокий,30.0,2024-03-31,11.0,12.18,1000.0,12.0,146.16,24.36,14.48,https://www.tinkoff.ru/invest/bonds/RU000A1075S4/,
934,Сибнефтехимтрейд выпуск 2,RU000A104DZ7,1030.1,Низкий,32.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104DZ7/,
935,Авто Финанс Банк БO-001P-11,RU000A107HR8,1011.5,Высокий,32.0,2024-03-28,44.0,40.11,1000.0,4.0,160.44,320.88,15.86,https://www.tinkoff.ru/invest/bonds/RU000A107HR8/,
936,ПИК-Специализированный застройщик выпуск 4,RU000A0ZZ1M2,1053.0,Высокий,47.0,2024-03-29,65.0,58.55,1000.0,2.0,117.1,1346.65,11.12,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ1M2/,
937,Мосгорломбард,RU000A104XJ9,1120.0,Средний,33.0,2024-04-02,56.0,54.2,1000.0,4.0,216.8,433.6,19.36,https://www.tinkoff.ru/invest/bonds/RU000A104XJ9/,
938,ТМК 001Р выпуск 3,RU000A102TJ1,-1.0,Средний,11.0,2024-05-31,4.0,15.92,1000.0,4.0,63.68,31.84,-6368.0,https://www.tinkoff.ru/invest/bonds/RU000A102TJ1/,
939,Сегежа Групп 002P-07R,RU000A105AD7,-1.0,Средний,0.0,2024-04-10,22.0,1.74,1000.0,4.0,6.96,0.0,-696.0,https://www.tinkoff.ru/invest/bonds/RU000A105AD7/,
940,Сегежа 002P выпуск 2,RU000A1043G7,-1.0,Средний,151.0,2024-05-21,33.0,42.02,1000.0,2.0,84.04,3151.5,-8404.0,https://www.tinkoff.ru/invest/bonds/RU000A1043G7/,
941,Россети 001P выпуск 9,RU000A1065C9,-1.0,Средний,48.0,2024-04-23,17.0,22.62,1000.0,4.0,90.48,271.44,-9048.0,https://www.tinkoff.ru/invest/bonds/RU000A1065C9/,
942,Россети 001P выпуск 10,RU000A1065A3,-1.0,Средний,72.0,2024-04-23,18.0,23.49,1000.0,4.0,93.96,422.82,-9396.0,https://www.tinkoff.ru/invest/bonds/RU000A1065A3/,
943,РЖД,RU000A104SY8,-1.0,Высокий,37.0,2024-05-03,46.0,51.42,1000.0,2.0,102.84,925.56,-10284.0,https://www.tinkoff.ru/invest/bonds/RU000A104SY8/,
944,ППК РЭО выпуск 1,RU000A105RW1,-1.0,Средний,104.0,2024-03-29,42.0,38.98,1000.0,4.0,155.92,1013.48,-15592.0,https://www.tinkoff.ru/invest/bonds/RU000A105RW1/,
945,ЕвроХим выпуск 7,RU000A101L96,-1.0,Средний,12.0,2024-04-11,37.0,35.76,1000.0,2.0,71.52,214.56,-7152.0,https://www.tinkoff.ru/invest/bonds/RU000A101L96/,
946,Группа Черкизово,RU000A105M67,-1.0,Средний,44.0,2024-06-13,3.0,24.45,1000.0,4.0,97.8,268.95,-9780.0,https://www.tinkoff.ru/invest/bonds/RU000A105M67/,
947,Бизнес-Недвижимость выпуск 2,RU000A104BY4,-1.0,Средний,32.0,2024-06-21,0.0,23.4,1000.0,4.0,93.6,187.2,-9360.0,https://www.tinkoff.ru/invest/bonds/RU000A104BY4/,
